UserID,DriverID,FirstName,LastName,Password,D.O.B,Role,Assigned Schedule,,DepotID
1,101,Curtis,Myers,curtis,22/02/1998,Manager,Y,,1
2,102,Caolan,Maxwell,caolan,21/10/1999,Manager,N,,1
3,103,Connor,Muldoon,connor,24/07/1997,Manager,Y,,1
4,104,Adam,Smith,adam,21/06/1988,Driver,N,,1
5,105,Ben,Dover,ben,26/02/1989,Driver,Y,,1
6,106,Julia,Rose,julia,27/09/1998,Driver,N,,2
7,107,Carol,Baskin,carol,01/01/1974,Driver,Y,,2
8,108,Conor,King,conor,01/07/1992,Driver,N,,2
9,109,Carlos,King,carlos,02/03/1989,Driver,Y,,2
10,110,Amy,Wells,amy,03/09/1998,Driver,N,,2
11,111,Jack,Whitehall,Jack,02/03/1989,Driver,Y,,3
12,112,Joe,Exotic,Joe,01/01/1974,Driver,N,,3
